"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100"
"425" 2.00820324695478 -16.4012861024908 -3.63066770346514 -12.412396302455 -5.72830470780663 -8.44256105561914 -14.5022405315036 -17.7064491125101 -5.12254073415181 -12.4692503508224 -18.7046515690873 -15.9974072762264 0.257691440554775 -9.9346741096112 -7.91543732865527 -22.5428045521106 -11.0386399971818 -0.236380033339767 -11.8659877812639 -11.3174393432458 -19.5489209485165 -12.0347081875451 -4.88986302832142 -13.9005822356227 -5.94908705762198 -41.0608886433791 -17.2355388491623 -8.18361405725263 -9.58703423357239 -12.1192006038892 -6.49926223502253 -3.50077795723738 0.514802697695904 -10.4616384708233 -24.1594228731649 -4.70957047366312 -20.4038679040928 -9.15944658842487 -8.79723384692179 -4.97838315682844 -9.34299182006588 -10.7984761280913 -8.1778922893015 -0.841802869640151 -5.36753341399083 -12.0786288001933 -1.71194264602041 -9.36050637247037 -6.39572384045226 -22.1668478873068 -16.0912342187068 -12.4158967197016 8.28291686695397 -24.2110466553476 -3.85249620091237 -15.5836894688789 -5.73038615484831 -22.9316253217636 -4.06009235552913 -16.3845173782797 -16.8428560074739 -13.5159342665172 -16.9171762175303 -13.7518918935029 -6.57718546029546 -11.0262685410176 -30.0913712575069 1.88934590953476 -7.18105707325598 -17.1895399568903 -6.38010324276441 -23.2519379647417 -1.25442635961874 -0.239508579528325 -8.13528990229961 -15.4808116263548 0.423380820124697 -0.936014054382439 -18.4602853454818 -22.9275825216818 -10.6793482588173 -4.7161118120999 -17.7251567138154 -13.826658969602 -3.22561527073915 -8.22688853258811 -30.2782970039264 -9.97170433993999 -0.701572971492759 -2.11488964326536 -5.29628756398224 -30.4436867044008 -15.6403540471179 -16.4242829007401 -25.7254036518099 -13.2677552551816 -9.96927640438683 -19.7021124601611 -8.8571323129321 -19.1196527839089
"426" 3.34658502508924 -17.8765475084241 -5.45176673655712 -12.0147612848136 -8.25137660403119 -8.90662048709046 -16.0199451019674 -17.9974598497295 -2.07803243189384 -14.2368164705739 -18.6941035447924 -16.4930677122028 -1.1866379692671 -7.35522906476376 -11.1268171142592 -22.4284250245756 -9.42179956357887 -2.164846780414 -14.1449228527444 -12.85117136649 -18.5219135869034 -12.9245524334187 -4.32387400847882 -16.0595795803655 -4.56278863185058 -38.412853728062 -18.8637498732423 -8.28293200270158 -7.51526436695249 -12.6051847377257 -8.80574799665512 -3.85037257698488 1.36258494947207 -10.1330336021107 -23.4843670968114 -5.50722425580363 -21.6902439020022 -10.8881853280437 -9.52384893558775 -7.34058201984544 -8.76648915926801 -12.5457408494114 -8.27086453170411 -0.401555446409496 -3.59588579187902 -14.2228857231748 -3.18467845958219 -9.53461259156725 -7.47234966800612 -24.4859837802343 -17.2291909625659 -9.13602711274362 5.66258249520895 -24.7317999433794 -6.00256953120988 -16.8514420946722 -4.28835975289013 -23.788863368048 -6.02086636833734 -20.715966710967 -16.4444007940045 -17.0849674285946 -18.7547377135175 -17.3394975941235 -11.0362118352455 -12.9404140954452 -29.3300629235839 0.621035009469106 -9.94695619483947 -15.5234362592819 -5.92334266142003 -19.7274033631071 -1.06924469959979 0.0507482941588311 -10.4125893158682 -18.3373533776986 -0.17775218350129 -2.07592675007429 -23.9216420133351 -22.1775209762622 -8.91043762298003 -7.06802889249378 -15.9154455632249 -16.1414638757039 -1.55482015312705 -10.2302650434198 -28.3803039183181 -10.79227847091 -0.843495115107928 -3.55115016710286 -6.21874289842486 -27.5324060776818 -13.1698330543725 -19.8225032904393 -23.5536688002863 -15.193189148646 -9.55388362202196 -23.5372890733041 -10.6658165120111 -23.1833657120972
"427" 2.269326417923 -19.8017945428152 -4.99508050005106 -13.5864931758004 -9.13282949143719 -11.5438007518796 -14.5540116588741 -14.2763906337243 -4.8117534587053 -15.6386488611598 -18.8631797570003 -16.0696946822578 -0.496370125929224 -9.42926314873038 -13.3466749326683 -25.1441341565193 -10.6212614369172 -1.37421764454428 -14.7026432070775 -13.9085052579574 -15.2350721278974 -11.6971713976471 -3.62041742866037 -17.2274842362125 -4.98938099381223 -40.902527529829 -18.0103787893404 -6.34172046072528 -4.89940836614087 -11.4529729572729 -10.5166963095193 -5.20366766529459 0.550110619892985 -9.9079873138332 -23.2076614691003 -6.21307410527874 -24.5613679577869 -9.27882079446207 -10.3690700345026 -9.19336223016436 -6.66884517805053 -14.7258806312915 -10.3086891361574 -1.48692064554985 -2.33513347975134 -16.2133774787868 -3.23129803357673 -11.1005540206808 -6.91910985036293 -24.662831989633 -17.142755494199 -7.60249179217976 6.04721249564106 -26.1175859731063 -2.3958162906311 -17.4180789144678 -5.01274866537023 -26.3052871855499 -6.45785795500378 -21.495822767708 -18.0843520435514 -17.0605749899338 -20.6300795919285 -19.3762076566659 -11.2281619548433 -14.3928752311134 -31.2716023327519 -1.31339180819248 -9.19986640504615 -15.9493706706766 -6.68988321871768 -20.849754569985 -0.942740341073511 -1.01871097482658 -9.15902372109329 -18.7008405568809 -0.981796907803578 -2.49496971135006 -27.5845766312439 -23.4952537348718 -11.5082231386046 -8.29344298660175 -15.4612181525993 -18.4339326879182 -2.93308561267163 -10.0316135831172 -29.2260625847099 -10.5726201187524 -1.59410956799151 -2.31770877039355 -6.84500594563442 -28.476615738359 -13.3853994477412 -20.4514059274824 -23.8555649347944 -16.913795046869 -7.61265726769802 -27.2300379330493 -10.8843688481309 -20.3562741034614
"428" 1.10510961241044 -14.9955321754379 -8.04739071878286 -13.6986703855274 -11.7946221481418 -14.4961140690061 -11.952333915822 -16.9237943644463 -5.14587236574113 -12.9058017102371 -20.0808267775907 -17.5666969282414 4.35167750545542 -10.7148302876294 -14.0438141266225 -27.0909800270223 -9.54970982754773 -1.28273949838067 -13.7452548182612 -13.5764122331279 -14.5628957985569 -12.1253154866691 -4.09812430395993 -13.4778056560335 -1.33335135888355 -42.3891187173936 -17.1537767515048 -8.00195793535923 -6.22381641892462 -12.5829793690898 -11.4114362975996 -6.08916688431909 -0.541046571944026 -11.3169499687689 -23.3940158266544 -7.56668265866975 -24.6832187092239 -8.69341409443061 -6.57555005889843 -8.33210547302583 -6.43453353394214 -17.0752483307164 -13.6060818092866 -1.69188617913303 -4.05277422310013 -15.628201227431 -4.65040762973021 -10.3839490595838 -8.03547347895099 -23.9001369165625 -16.2699455932848 -11.3723697788179 2.54023064204076 -23.0451207940708 -3.14229355769688 -19.1302680854238 -1.69633206753947 -29.2564428116267 -6.69549613845413 -17.6649160326051 -17.2956238618336 -12.7460436391888 -14.0263621568564 -17.8288566124954 -9.25230231313203 -15.7838290928311 -31.4521041570268 -2.90669630870246 -9.93500760795252 -15.6555042325033 -4.16739733622598 -24.3921117913096 -3.14428069278838 -3.41712341399456 -5.43784766393292 -16.8328782552788 -0.311783696203927 -4.32076011302165 -29.3825221847153 -26.2537951569899 -12.0786400829528 -8.01376099960032 -17.9806088095922 -19.0618317553031 -3.63918942152273 -10.1483493260931 -30.4537339054449 -12.9486281119475 -0.805837309290025 1.3269992195069 -9.6829531250594 -25.9965593298811 -12.5724273967291 -21.3384136120377 -26.176538271197 -19.0713713618116 -7.2999300127182 -28.3089370812235 -13.4005394746033 -21.7367757930119
"429" 0.811637905426255 -15.8761252866409 -7.63700957253397 -12.7020470078729 -12.1954933275608 -14.9025930021396 -11.8637615209803 -18.7847354606351 -5.73642546151432 -14.9896551276331 -21.5513497553066 -15.5171824484767 2.75979599596492 -8.48861669344501 -13.7994226926337 -27.4948022571601 -10.1943663373674 -2.08759696215526 -12.0117119582351 -14.9817616322472 -16.6151655531888 -12.1547012280971 -4.84450065320094 -15.6352117684691 -1.61768083220475 -40.3058204597301 -17.0532642346607 -2.89193423052772 -6.35730730182145 -13.4059863197961 -10.1753620951409 -4.15899213397439 -1.15860083178667 -12.7655377206151 -20.8027162353115 -8.47389250064519 -22.0769600568772 -9.91752713853702 -8.5123240308064 -9.28587360520718 -7.84029094539 -17.732134069744 -12.1715145114279 -1.78165370358214 -5.04524478981359 -18.1835390620604 -5.89164340412391 -9.91267865086771 -5.55013268304545 -26.2944265038156 -18.1027851549595 -11.4828677000218 2.30909088691799 -24.835954896545 -3.29418556024277 -21.2025438052134 -2.36403956722435 -28.5079710170877 -7.99670597002577 -18.8365667346071 -19.0786740835769 -13.0122534920472 -12.5151248593071 -18.7460973784009 -8.66305007030213 -16.9088752285534 -32.4193203676887 -2.54926538430968 -11.6822650516473 -16.9425953746967 -6.32818030808608 -22.3568612569897 -2.84506987715982 -5.26803563460487 -3.01989986062008 -16.56499968666 -0.166738856016879 -4.05882094329275 -28.0450747706911 -28.0027121698285 -11.5837257268888 -3.72937263086681 -19.2570282195627 -19.3795462042418 -3.27338414627549 -11.0578017906973 -31.3248926764039 -13.9262369577733 1.28435614817479 0.754452662857918 -10.2487418984768 -25.0662876037453 -13.7651685881413 -21.7691380825373 -28.594386062384 -19.4197460451277 -5.29765531170836 -30.8963493297151 -14.9720158404602 -22.9592374276286
"430" -0.0669815789067219 -13.5290577978861 -10.8713907241228 -12.1420246512173 -13.8177423964336 -12.7887378283442 -14.4953516419387 -22.8566323275578 -1.7602360712105 -15.4480632442057 -15.0260704405167 -17.087372602373 4.06329599407723 -9.76270379363664 -15.5444729023686 -30.0435447266962 -11.1255838340823 -2.37406534567659 -13.8638585349133 -13.4081243651598 -12.8791394875295 -13.6983955196174 -4.85850485695909 -16.0200160808114 -1.12340754791835 -44.552098315464 -17.0777333279896 -5.20323328696812 -7.85308628813861 -13.8096996574397 -15.6391442204805 -1.04331237674433 -3.93929241772455 -14.4617344319473 -19.1003011160112 -7.39736567612002 -24.7431345543234 -15.9335751310628 -5.90381405275213 -9.59023794705307 -0.4390312343582 -20.8454333754151 -11.082440792272 -3.64736425653827 -6.79550539725908 -16.8643886511668 -8.70090713714355 -11.0928420117748 -9.76342111934045 -25.8439398728726 -19.2414516829094 -12.672923980234 3.93971705602952 -27.9838169893745 -2.32662598819444 -17.5447825327855 -2.64205259423118 -29.5509941252107 -10.0475947729905 -21.3719266718817 -23.024497488889 -17.7809094972527 -16.8361471986747 -22.1998673309637 -13.5884356601689 -18.9337270544421 -30.2334713664431 -3.59423295258035 -10.6024044610442 -12.1727812670483 -3.34820179714286 -19.7689185158197 -3.87646506630333 -8.51116743198395 -3.64147424350403 -16.9767969082102 -1.39694133400121 -2.98839866834217 -31.361183048494 -32.3830316074999 -14.1668973508839 -4.92540515119508 -23.8093794249316 -22.8673677393177 -6.62082707582543 -13.6624755745602 -36.1948405533351 -14.1140365050037 4.64701990278219 -2.16942609716984 -10.2041890222693 -23.1093205574042 -15.4800969739575 -21.8795296979883 -31.1351149975833 -22.7267007952675 -2.52902524894769 -28.8901463996496 -17.1969426231053 -22.2190051993816
"431" 0.945645335562362 -14.8223750615955 -8.05878548504775 -13.3749634854541 -15.2422038788284 -13.1244355973042 -12.8755552832379 -23.3758879985041 -2.30730490695519 -16.7395748714665 -15.3482699398287 -17.7829901547014 5.59670996701142 -10.8775405801101 -15.462308013846 -28.8443123485914 -11.6054716722376 0.74834983479003 -14.992943300554 -14.4796639601318 -14.4990634301948 -13.3769155132771 -4.49273524315974 -18.0638977394338 -2.37670419798024 -47.0919465332993 -15.4345842445105 -6.87581100288057 -9.21105294663229 -11.0349587540627 -16.9382335870297 -1.30612906083307 -4.80361150980033 -15.2991702007093 -17.5043924464467 -6.04747560437107 -25.9940185329201 -16.8641476288756 -5.67056051788384 -8.71718318391212 -0.993157726236804 -21.1742876973475 -12.4415702200094 -3.37016179067671 -6.83387685659316 -16.9584069915753 -8.49629117715307 -9.69758220830257 -8.64855517883019 -24.2453407747101 -19.8344317362303 -13.4559828959565 5.28150430782451 -29.0167151299705 -2.51941631102295 -17.2746097909315 -1.21866231463288 -31.6142712610133 -11.4928417004088 -21.6931929291539 -23.1223110321195 -17.413272264296 -15.3743805840783 -19.1695469055185 -13.5933066881102 -20.9515944396856 -30.7039345389194 -3.98205693152918 -12.1547260831747 -12.4866225563836 -2.22389788525224 -19.6601904816468 -4.74933459286406 -5.76437944957353 -2.87050014127568 -18.2949211390632 -2.90135530346864 -3.29426950748484 -29.7536069570736 -31.2722288779004 -13.0872033150294 -6.78029944367171 -22.84891071431 -22.9591684855764 -5.42545804323771 -13.3180166875043 -37.4169029619903 -13.0391351177124 5.83867489101892 -2.08391384294415 -11.2783731634605 -22.9479683449683 -15.479778392857 -23.2997473865411 -33.1233473159188 -24.0572990631407 -3.71782679086183 -26.2731455282142 -17.6614539032591 -23.3820265606908
"432" 0.912079928556853 -14.8443902065122 -7.82070138969764 -13.3857536219879 -15.2778406989244 -11.5838825006407 -12.892607263947 -23.4025895876596 -2.24002170751858 -16.7684896548946 -14.925347472718 -17.7901104028792 5.94696018329306 -10.6524234205164 -14.3461970135319 -28.6209627084037 -10.8606710450951 0.940025318144011 -14.9617712131436 -14.5212567935975 -14.4842186752916 -13.1788296640833 -4.14738152384588 -18.0998268478302 -2.29829297679107 -46.6042981550372 -15.2935251502526 -6.78925916639836 -9.23711214784295 -10.6295457658383 -16.9749234552327 -1.31368022903258 -4.81700904548192 -14.6887420447788 -17.5431693020797 -6.08231767796235 -26.0332705862334 -16.6048919004735 -4.50190931266363 -8.60361062218509 -0.84218872246602 -19.5825945437818 -12.482172284048 -3.37430062599042 -6.6878083814284 -16.9934572223787 -8.52416162548 -9.35223485476559 -8.16364401420688 -23.9358052803569 -19.8746881816348 -13.188459002367 5.2596080858304 -28.3061176543679 -2.02862119116558 -17.2407879625891 -1.23225400849287 -31.1902623005152 -10.7868957100852 -21.7279395348256 -23.1187357785827 -17.1984798350513 -14.9077006383352 -19.2114423849377 -13.5481606278109 -20.8533712402267 -30.2421018761469 -2.70911766635478 -11.6072160109257 -11.8247478721208 -2.25392070263952 -19.3583670499347 -4.77208308588146 -5.8023953050738 -2.48249253916504 -18.0950862647789 -2.72697903593799 -3.32799757207809 -29.3977381928475 -31.1450247632102 -12.9921946217816 -6.8068110231337 -22.8716242468639 -22.9583447109165 -4.98005746613475 -13.3515274084172 -37.3728971419458 -13.0193761884432 5.83210315699871 -1.94056213619536 -10.7795210638959 -22.9766781346687 -14.7738422021688 -20.1129424542621 -33.1690230397464 -23.7830735727384 -3.73658981982297 -24.9075796757966 -17.4759100654195 -23.1245686281787
"433" -0.814732280476949 -17.6370729947869 -8.64278596832115 -14.5451381333201 -9.24350472531268 -11.4917868964201 -12.3659475736757 -25.0803161375857 -6.91755024255307 -14.6427308382114 -12.7895019254012 -17.9649886323209 6.31749107003186 -10.0692674224395 -10.8320700693132 -28.4556975293525 -7.23321933023013 1.34451682590128 -18.7800717521915 -14.6037138701465 -16.4511371357045 -8.20356580888957 -4.35014515890535 -14.4795279778309 -3.81099559528828 -50.0335118894003 -13.4712213719999 -9.07162341509025 -11.8970991991175 -10.2476840461278 -21.8322137740071 -0.897989100429553 -4.87365575759866 -10.7939464663443 -20.3029732539277 -6.47431592474206 -25.5586447756567 -16.6114005464982 -3.73429277057333 -10.2265793922985 -2.97511510670161 -18.693008151382 -10.5700789148981 -5.20834811414934 -10.0656203069961 -18.7182474324345 -2.88398055836296 -10.7918087591446 -9.51249353647374 -20.8309609847983 -22.4176430949833 -15.7560472166515 5.62357584499822 -31.2679191295834 -1.21070417431772 -18.2982411546093 -2.65408828128957 -31.1367988979881 -7.92084731043785 -16.7202595659389 -21.0693263325466 -14.0251143727803 -15.7798114058804 -20.785218632301 -14.6473910262824 -24.9599501471361 -27.2790765914039 -1.23143944726667 -13.4429160820388 -15.4610880955854 -3.52817291135801 -18.280937859722 -5.79853897110101 -6.25787381356415 -7.75041343622911 -15.0204552043058 -2.55878948522668 -4.24563110969784 -34.052928228903 -27.8379230853467 -14.1878962539338 -7.62733721325854 -22.9213760626661 -22.7746026409777 -6.98039380947466 -17.6426247707649 -38.8201986540856 -14.9656140090628 5.10449374606383 -5.06595529253882 -10.526255797562 -23.8601310212121 -10.1972112029797 -17.7481712180425 -35.1085715987374 -29.1329161509769 -6.26059275443525 -21.6758624946791 -15.0280913975995 -25.330197911696
"434" 0.069535142095678 -17.9670993443356 -8.16396137680144 -13.3714861713742 -9.54977014886451 -11.4180557196099 -12.4190029232882 -25.6578288572366 -6.61977618392793 -14.3046770557493 -12.7696324941803 -17.5879114465271 6.67664050393018 -10.1109185737378 -10.9256016685822 -28.7916025134555 -7.42672406316804 1.74723608484039 -17.7069323952297 -14.2969464602525 -15.3559776293107 -8.23088085917005 -3.41696499280106 -14.0741726827296 -3.90781686479358 -49.879979002385 -12.9562488131995 -9.57812317347515 -12.016647120534 -10.3646747473835 -22.3464864262781 -1.3716403239614 -4.34593128993948 -10.5299117030578 -20.3525401453948 -6.98300993665308 -26.1291339255233 -14.9903273915053 -4.22940666342582 -10.6484246836966 -2.78789997839384 -17.0082017389573 -11.0972971681686 -4.87937182990927 -9.55727417476395 -18.4433061872883 -3.19907766535106 -11.2215551587134 -9.26793667008869 -20.4859456809569 -22.3608934671258 -13.7169890999535 5.50502179541611 -31.889204129702 -0.489824634816172 -16.9200186937183 -3.14316765572999 -31.6538883040699 -7.89230493476296 -15.679196078572 -21.5598382530401 -13.7857165021586 -15.9085636732908 -21.3113532331663 -15.1756203826353 -25.4802881020083 -27.2554173191907 -1.22740938812924 -13.4670372846281 -15.3899488644405 -2.52164864667874 -18.207024312764 -6.10965105161456 -6.2129460701009 -7.52322475673983 -15.0839714304557 -2.87229804889553 -4.57652324385662 -33.3857807278801 -28.2166185041604 -13.2125393357329 -6.59010826121627 -21.8450563862423 -21.8286446221781 -6.43664928471201 -17.9164203628522 -39.1883290571654 -14.8948366454885 4.99847905312006 -5.39906455256425 -10.8198919350238 -23.293828826042 -10.7140662447123 -17.6892437231621 -31.7272742569903 -27.9203276749527 -6.71661010230959 -22.2568376466063 -13.25823544082 -25.6948991925269
"435" -0.871788145272889 -18.0428815642091 -7.92236390737759 -14.0290427923205 -8.99806980128999 -11.0723250309349 -13.5145821087482 -26.3240974399895 -8.08369322652629 -15.3912153109441 -13.3215211634861 -16.2716823482145 7.43938676890398 -9.9234732924014 -12.4543333813091 -29.7152539937247 -6.84896441301386 3.83939702132151 -14.2999572852246 -13.7390670089949 -16.4856655645602 -8.08701941421301 -2.53038149481171 -14.2482177846506 -4.22582440420292 -51.9849584850069 -11.0967127782473 -9.68177797634389 -13.6381616728533 -11.460033557729 -18.7807159413078 -0.709379500012708 -4.04816787043887 -10.6615406079471 -21.0271989582997 -7.2114449995379 -25.7152867317658 -14.4152575743424 -5.11405506369449 -11.5909236025979 -0.812217472609222 -18.0815638496931 -10.5550650516716 -4.45398749419113 -11.012431663926 -19.6019492032512 -4.2226736407585 -9.80954858334771 -8.2868331364462 -20.9679154258376 -22.5400604772678 -13.6076320272798 5.06409095950952 -31.36664254441 -0.748642323840465 -15.6457882285062 -3.96217762264395 -33.1479516089727 -7.95904758326886 -15.8690455482247 -21.4147218948491 -13.3513426016122 -16.8724170555145 -21.5391371539879 -16.7320208171851 -26.123060231453 -25.2323237986936 -0.856820004422998 -14.0737457538282 -15.32047659977 -0.243635523594499 -18.1170448796424 -5.57295729987941 -6.87977758911489 -8.86142658451561 -13.0464573565578 -3.76570235040909 -2.46542764964242 -34.2702722490136 -24.3921771027252 -12.5684378620561 -5.86911514330422 -18.4395910964342 -23.5789680251023 -4.00587944627333 -17.3253202815379 -40.6310705137593 -14.0093831966156 5.5274847789541 -3.0818943383532 -11.1402805009249 -22.5797773688835 -10.847907201417 -18.9396517047683 -29.0437256304071 -29.8464489132728 -7.45767147788745 -21.9094607840709 -10.6753194622925 -25.6833758503165
"436" -0.801230629912619 -17.8997533145473 -7.94065988733095 -13.4184555595832 -8.94368305627225 -10.5880654156643 -13.3228131956192 -25.8194558669637 -7.59722590490353 -15.0694300291545 -12.9329274091097 -15.8133846003496 7.75025726467841 -9.29700895183032 -11.8032937569827 -29.6944139348729 -6.84809289462305 3.83641229072477 -14.1624687013951 -13.4626343361198 -16.4416823889169 -7.69820454535171 -2.54506846993114 -13.9705063196262 -4.16024672629178 -51.8432469909563 -11.1114907211458 -9.55457340852419 -13.0644010083867 -11.2586703322707 -18.2098708424807 -0.715169303325691 -3.93276287098787 -10.6692668011347 -20.939669798008 -7.16950080046501 -25.4471881804396 -14.4238380319846 -5.1316580187611 -11.596482352286 -0.59178127961379 -18.1015549861523 -10.4865735979547 -3.96356426082189 -10.3088956666713 -19.5930358644986 -4.1198669850764 -9.07817183568449 -7.16074618105744 -20.8446557178539 -22.5162070414944 -12.8050654374563 5.21315965925084 -31.3084366817168 -0.766302054206669 -15.6635174794699 -3.97565597219189 -33.1231681584976 -7.97274902046938 -15.5910630845865 -21.4159520725244 -11.6490575445967 -16.5769262994955 -21.5421115024631 -16.4294468790451 -25.9460602615747 -25.1387969837921 -0.597197503818103 -11.7884649377515 -14.7387862984756 -0.237730240434231 -17.7214150569985 -5.58531044854587 -6.74029653156363 -8.74213520568383 -13.0083939784794 -3.47429774732853 -2.46830273012362 -34.29394958358 -23.8575464530066 -12.4427290988368 -5.40120935182966 -18.2512460412261 -23.5935122766703 -3.76445209516936 -17.2256372163669 -39.7949595400322 -14.0177816733398 5.51236734259452 -3.09502809606061 -11.1566593975167 -22.2244817381713 -10.8589362323607 -18.2638628696066 -25.7454145282485 -29.5290419515304 -7.44092726783017 -21.8734230897232 -10.6088145800867 -25.4406673208357
"437" -1.83709403402599 -15.1676920067696 -7.91199742531903 -14.179249448079 -10.0920474891299 -9.4998684023746 -13.0512956888234 -25.5075423911254 -8.36962743177931 -15.4020629993942 -14.0785546421223 -16.3246916363669 9.13016156406168 -9.61245948624656 -12.113549799456 -29.7359961210949 -6.98768975069504 3.02829796802909 -15.1661909824447 -14.4975349544297 -17.6333045300733 -8.33927343742213 -2.28951052374942 -9.279337595076 -2.83673407363467 -53.4298595523639 -10.3679387617872 -8.56197182680551 -12.0074678675838 -12.4126612894873 -19.3765745316955 -0.509955314942445 -4.8150601342263 -11.5350806883381 -20.0825566631487 -7.44047332229609 -25.4803052876261 -15.4681689914685 -4.941230966126 -10.623267126724 -1.64083553936094 -19.254101814251 -11.4168934842165 -3.52940373333901 -11.2675833212155 -17.7035385916309 -4.33969754050587 -9.87136716634232 -6.01716443106961 -20.736787307437 -22.4652728211105 -13.7046573100387 4.26449658230731 -31.6550560165227 -1.74776286622007 -16.6292583392276 -4.01592561128292 -34.0585971604464 -7.56332753366624 -13.9077474785869 -19.4351976952792 -11.7994094675796 -17.5093243045928 -20.6519886107939 -16.1905119597364 -25.8230476589783 -25.8989307876963 -0.976139371693563 -12.9544559740604 -14.8760323368855 -0.93650660178497 -14.9586085137563 -5.83389035375497 -4.84934748860546 -8.31826931027841 -14.1424530650306 -3.83913533498959 -3.45339430509546 -33.7639184915808 -25.0224030164865 -12.1356634447211 -5.34302698343605 -17.1202895550308 -23.0863909914063 -3.65186838803899 -15.3746064698286 -35.7810662273076 -14.4741362908943 5.03878344335364 -2.82875816747956 -12.0325207169154 -18.9318847356776 -11.5535829025779 -18.2289496369889 -26.0845385119936 -28.8397101300353 -5.34881798969364 -22.1439193634066 -10.241199771982 -23.4315285218179
"438" -1.34956980463401 -15.4222659201419 -7.91902383179357 -14.4460167559255 -9.84572652896385 -9.30412069213509 -12.792504697441 -25.7350419147021 -8.64511446941254 -14.2006835582013 -14.2003397445749 -16.2723443363849 8.90852813775295 -9.44940826733862 -12.0897540978508 -30.0251517161051 -6.18693264548658 3.23722730452688 -14.0536477617463 -14.161011030073 -17.147982242276 -8.27199327791406 -2.48566849706888 -9.54945747791236 -2.9284668662926 -52.8150127828529 -10.3810917339282 -8.4092825353669 -12.1257665847992 -11.057790622638 -18.5693942391262 0.799365055774826 -5.03154970846509 -11.4132275248003 -20.2339850134242 -7.37598348196984 -24.9353268278361 -15.7351988241387 -4.3005608389429 -10.7949722178807 -1.87096227872232 -19.554850196297 -10.3536332308344 -3.51030099731098 -11.5336570779274 -17.8148648653172 -2.79336261100642 -9.27683242897146 -5.41346189943408 -20.8699509403395 -22.2311521140855 -13.9924358048761 4.3190173438091 -31.9515422653179 -1.59317896435287 -16.5616671410948 -4.17346088789907 -34.3451591736933 -7.82883653857138 -14.0882855113679 -19.7379578844893 -10.3967277162466 -17.3843604672084 -20.1200369018244 -16.2234176607546 -25.792904327934 -25.2676080688787 -0.16843946192151 -13.2192905570701 -13.6313229566997 -1.13615677535757 -14.6407902273958 -6.07019445390773 -5.03036447579759 -8.469447764891 -14.0326681639434 -4.02473259514797 -3.71610814879839 -31.8009350515093 -25.3115727815919 -12.420723003981 -4.33557550400887 -17.3523641487281 -23.1159443457741 -3.58118539483292 -15.4346419666178 -33.7981870352195 -14.6215643965099 5.31057634028654 -3.08905135484874 -12.3011159666753 -19.1941582984525 -11.8007668651559 -18.4792240853249 -26.3611956263071 -29.1671524722124 -4.07368849308858 -22.3779636287107 -10.3327152329659 -23.3513146910095
"439" -1.59289068996271 -15.9157712796002 -8.03915155870487 -14.6135297632561 -10.2494520333795 -9.70205814189493 -13.083941007933 -26.3066866240958 -8.94166549859936 -14.0932368962869 -13.7137559415061 -12.8223803208039 9.2385638287827 -9.46982452596949 -11.6301596924507 -30.3600226621121 -6.26239248646658 2.79940017211371 -14.4354818303288 -13.9041229918507 -17.3634912106655 -8.10186675041738 -1.6576585757301 -9.16540230766749 -2.8435887455931 -52.5883135289963 -9.77629144334287 -8.48960850026745 -12.6447064924638 -10.373761279976 -17.7571823807966 0.335810287292981 -5.42357292733717 -11.4718929163369 -20.7862186512671 -7.4515072418406 -25.1425385843677 -14.0546525972446 -4.44482142492559 -9.97846428471487 -2.34882418718947 -19.8337230082775 -10.3403641376599 -2.19999141750293 -12.0526572653852 -17.8558634429786 -3.27471609262613 -9.15077121409891 -5.66258268300817 -20.7708352947368 -21.1120558925835 -14.111776098669 4.35414660280009 -32.1286957013006 -0.332414187738217 -16.6720998806214 -4.5644990532232 -34.6075273617669 -8.26601839375596 -13.7699004756265 -20.2872627048284 -10.4775829283851 -17.5458631095297 -19.0899067408335 -16.080528535046 -26.3192238751164 -25.2900765727703 0.0296479092248059 -13.7497111351089 -12.6256685904168 -1.56172782113906 -15.1357667979982 -5.7412199410781 -4.19862227634253 -8.80959497831388 -14.503717128422 -3.03143300386415 -3.89756734985205 -29.2886871101129 -25.8400740538014 -10.0417751445069 -4.68683293528467 -16.9320937897015 -23.0998437660153 -3.64503139177352 -15.9041678066411 -33.4265570805308 -14.5131401376535 5.06710284117873 -2.16095879349558 -12.5582603003563 -19.6919598618031 -11.6630997674461 -18.9885103029545 -25.1553242070326 -29.3538165908377 -0.776998995615186 -22.821879825702 -10.1780946332402 -23.890903615626
